Incorrect Word,Correct Word,Error Type
headphn,headphones,Silent Letter
elephnt,elephant,Silent Letter
octop,octopus,Silent Letter
lapto,laptop,Silent Letter
montor,monitor,Silent Letter
banan,banana,Silent Letter
print,printer,Silent Letter
orng,orange,Silent Letter
cmptr,computer,Silent Letter
mos,mouse,Silent Letter
chtah,cheetah,Silent Letter
dolpn,dolphin,Silent Letter
tgr,tiger,Silent Letter
kybrd,keyboard,Silent Letter
apl,apple,Silent Letter
iraff,giraffe,Silent Letter
pnin,penguin,Silent Letter
rpe,grape,Silent Letter
chry,cherry,Silent Letter
strawbry,strawberry,Silent Letter
hedphones,headphones,Silent Letter
elepant,elephant,Silent Letter
octps,octopus,Silent Letter
lptp,laptop,Silent Letter
montr,monitor,Silent Letter
bann,banana,Silent Letter
prnt,printer,Silent Letter
orane,orange,Silent Letter
cmput,computer,Silent Letter
moue,mouse,Silent Letter
cetaha,cheetah,Silent Letter
dolpin,dolphin,Silent Letter
tirg,tiger,Silent Letter
kyboad,keyboard,Silent Letter
aplle,apple,Silent Letter
irafff,giraffe,Silent Letter
pnuin,penguin,Silent Letter
rap,grape,Silent Letter
crry,cherry,Silent Letter
straberry,strawberry,Silent Letter
adphons,headphones,Silent Letter
lephant,elephant,Silent Letter
octpus,octopus,Silent Letter
laptp,laptop,Silent Letter
monitr,monitor,Silent Letter
bana,banana,Silent Letter
printr,printer,Silent Letter
komputer,computer,Phoneme Mismatch
kheetah,cheetah,Phoneme Mismatch
mouze,mouse,Phoneme Mismatch
oktopuz,octopus,Phoneme Mismatch
giraphphe,giraffe,Phoneme Mismatch
headphonez,headphones,Phoneme Mismatch
kherry,cherry,Phoneme Mismatch
bluebrry,blueberry,Phoneme Mismatch
keybaord,keyboard,Phoneme Mismatch
dolfin,dolphin,Phoneme Mismatch
compyuter,computer,Phoneme Mismatch
chetah,cheetah,Phoneme Mismatch
mowze,mouse,Phoneme Mismatch
ocktopus,octopus,Phoneme Mismatch
girrafe,giraffe,Phoneme Mismatch
hedfonz,headphones,Phoneme Mismatch
churry,cherry,Phoneme Mismatch
blooberry,blueberry,Phoneme Mismatch
keeboard,keyboard,Phoneme Mismatch
dawlfin,dolphin,Phoneme Mismatch
kampyooter,computer,Phoneme Mismatch
cheeta,cheetah,Phoneme Mismatch
mooze,mouse,Phoneme Mismatch
oktapus,octopus,Phoneme Mismatch
jiraffe,giraffe,Phoneme Mismatch
headphonz,headphones,Phoneme Mismatch
cherie,cherry,Phoneme Mismatch
bluberri,blueberry,Phoneme Mismatch
keaboard,keyboard,Phoneme Mismatch
dolphen,dolphin,Phoneme Mismatch
kompooter,computer,Phoneme Mismatch
cheetuh,cheetah,Phoneme Mismatch
mowse,mouse,Phoneme Mismatch
octopuz,octopus,Phoneme Mismatch
giraffee,giraffe,Phoneme Mismatch
hedphones,headphones,Phoneme Mismatch
cherrie,cherry,Phoneme Mismatch
bluebery,blueberry,Phoneme Mismatch
keybord,keyboard,Phoneme Mismatch
dolfen,dolphin,Phoneme Mismatch
compewter,computer,Phoneme Mismatch
cheetoh,cheetah,Phoneme Mismatch
mouz,mouse,Phoneme Mismatch
oktopis,octopus,Phoneme Mismatch
giraph,giraffe,Phoneme Mismatch
headfonz,headphones,Phoneme Mismatch
khary,cherry,Phoneme Mismatch
bleuberry,blueberry,Phoneme Mismatch
keebord,keyboard,Phoneme Mismatch
dolphyn,dolphin,Phoneme Mismatch
kompyooter,computer,Phoneme Mismatch
cheetaw,cheetah,Phoneme Mismatch
mowz,mouse,Phoneme Mismatch
octopys,octopus,Phoneme Mismatch
jiraff,giraffe,Phoneme Mismatch
hedfon,headphones,Phoneme Mismatch
churrie,cherry,Phoneme Mismatch
blubbery,blueberry,Phoneme Mismatch
keyboord,keyboard,Phoneme Mismatch
dalfin,dolphin,Phoneme Mismatch
compyutar,computer,Phoneme Mismatch
cheetuhh,cheetah,Phoneme Mismatch
mooz,mouse,Phoneme Mismatch
oktopas,octopus,Phoneme Mismatch
giraphy,giraffe,Phoneme Mismatch
headphnes,headphones,Phoneme Mismatch
cherrry,cherry,Phoneme Mismatch
blueberi,blueberry,Phoneme Mismatch
keybored,keyboard,Phoneme Mismatch
dolfinz,dolphin,Phoneme Mismatch
komputar,computer,Phoneme Mismatch
cheetow,cheetah,Phoneme Mismatch
mowze,mouse,Phoneme Mismatch
octopiz,octopus,Phoneme Mismatch
giraffey,giraffe,Phoneme Mismatch
hedfonez,headphones,Phoneme Mismatch
cheri,cherry,Phoneme Mismatch
bluberryy,blueberry,Phoneme Mismatch
keeyboard,keyboard,Phoneme Mismatch
dolphin,dolphin,Phoneme Mismatch
compyutr,computer,Phoneme Mismatch
cheetahh,cheetah,Phoneme Mismatch
mouzee,mouse,Phoneme Mismatch
oktopuz,octopus,Phoneme Mismatch
giraphie,giraffe,Phoneme Mismatch
headphonzs,headphones,Phoneme Mismatch
cherriey,cherry,Phoneme Mismatch
blueberyy,blueberry,Phoneme Mismatch
keyborad,keyboard,Phoneme Mismatch
dolfinz,dolphin,Phoneme Mismatch
komputor,computer,Phoneme Mismatch
cheetawh,cheetah,Phoneme Mismatch
mowzee,mouse,Phoneme Mismatch
octopuzz,octopus,Phoneme Mismatch
giraffi,giraffe,Phoneme Mismatch
hedphonz,headphones,Phoneme Mismatch
cherriy,cherry,Phoneme Mismatch
bluberry,blueberry,Phoneme Mismatch
keyboarrd,keyboard,Phoneme Mismatch
dolphinz,dolphin,Phoneme Mismatch
friend,friend,Correct
banana,banana,Correct
headphones,headphones,Correct
computer,computer,Correct
orange,orange,Correct
giraffe,giraffe,Correct
mouse,mouse,Correct
tiger,tiger,Correct
cherry,cherry,Correct
laptop,laptop,Correct
penguin,penguin,Correct
strawberry,strawberry,Correct
elephant,elephant,Correct
grape,grape,Correct
cheetah,cheetah,Correct
apple,apple,Correct
blueberry,blueberry,Correct
keyboard,keyboard,Correct
monitor,monitor,Correct
printer,printer,Correct
